sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|     110     |          83          |            54           | 2.746757705007763e-05  |
|     110     |          84          |            48           | 5.1294631521592304e-05 |
|     110     |          85          |            52           |  4.85983354484576e-05  |
|     110     |          86          |            44           | 8.696534642527176e-05  |
|     110     |          87          |            48           | 7.871686056726279e-05  |
|     110     |          88          |            54           | 2.9500638401069867e-05 |
|     110     |          89          |            50           | 5.636773205663914e-05  |
|     110     |          90          |            50           | 6.891799559283207e-05  |
|     110     |          91          |            46           | 9.178822736743975e-05  |
|     110     |          92          |            48           | 9.405890135383288e-05  |
|     110     |          93          |            62           | 7.515212403119698e-05  |
|     110     |          94          |            52           | 5.595129123420195e-05  |
|     110     |          95          |            62           | 2.7896671943028473e-05 |
|     110     |          96          |            50           | 8.082564955858018e-05  |
|     110     |          97          |            54           | 8.671521879388688e-05  |
|     110     |          98          |            60           | 7.451047163731239e-05  |
|     110     |          99          |            50           |  9.55520644692065e-05  |
|     110     |         100          |            62           | 6.720710113961026e-05  |
|     110     |         101          |            58           | 8.866909658955535e-05  |
|     110     |         102          |            58           | 5.252092029484068e-05  |
|     110     |         103          |            68           | 7.270493714384152e-05  |
|     110     |         104          |            54           |  8.84360284039154e-05  |
|     110     |         105          |            70           | 6.737974929493795e-05  |
|     110     |         106          |            64           |  8.57662327515829e-05  |
|     120     |          40          |            26           | 6.771343495981519e-05  |
|     120     |          41          |            26           | 9.859285351416944e-05  |
|     120     |          42          |            28           | 5.2835221223401785e-05 |
|     120     |          43          |            28           | 8.427613818762225e-05  |
|     120     |          44          |            26           | 6.649844760561804e-05  |
|     120     |          45          |            26           |  8.40105636072952e-05  |
|     120     |          46          |            32           | 3.322524474763666e-05  |
|     120     |          47          |            30           |  5.35439361076806e-05  |
|     120     |          48          |            30           | 8.062800511809964e-05  |
|     120     |          49          |            30           | 5.453031389424101e-05  |
|     120     |          50          |            32           | 6.540437961866097e-05  |
|     120     |          51          |            30           | 9.416752580293508e-05  |
|     120     |          52          |            36           | 2.1426831146198477e-05 |
|     120     |          53          |            36           | 3.6481055800396955e-05 |
|     120     |          54          |            36           | 4.4467122235936074e-05 |
|     120     |          55          |            32           | 7.375641739115757e-05  |
|     120     |          56          |            32           | 9.134296641908637e-05  |
|     120     |          57          |            36           | 5.3653730538893996e-05 |
|     120     |          58          |            40           | 7.486661073596856e-05  |
|     120     |          59          |            40           | 4.510483805331145e-05  |
|     120     |          60          |            36           | 6.306424617746886e-05  |
|     120     |          61          |            36           | 8.528539485341824e-05  |
|     120     |          62          |            40           | 5.348252820480681e-05  |
|     120     |          63          |            42           | 7.258239411833678e-05  |
|     120     |          64          |            36           | 9.859516171006888e-05  |
|     120     |          65          |            40           | 6.189255348337808e-05  |
|     120     |          66          |            38           | 9.188046355290691e-05  |
|     120     |          67          |            40           | 6.023776801511449e-05  |
|     120     |          68          |            44           | 4.379035499951778e-05  |
|     120     |          69          |            40           | 9.547138798315924e-05  |
|     120     |          70          |            42           | 6.223711065722615e-05  |
|     120     |          71          |            44           | 4.4906689098345165e-05 |
|     120     |          72          |            42           | 6.848794760805355e-05  |
|     120     |          73          |            46           | 4.4888499205197885e-05 |
|     120     |          74          |            40           | 9.744933626898433e-05  |
|     120     |          75          |            46           | 6.683687470787625e-05  |
|     120     |          76          |            44           | 9.787166714947393e-05  |
|     120     |          77          |            44           | 6.754578078393969e-05  |
|     120     |          78          |            50           | 4.565903047182296e-05  |
|     120     |          79          |            48           |  9.24700406826906e-05  |
|     120     |          80          |            46           | 6.451760568415565e-05  |
|     120     |          81          |            48           | 8.109926825716762e-05  |
|     120     |          82          |            48           |  7.30280719588583e-05  |
|     120     |          83          |            44           | 7.702310486015537e-05  |
|     120     |          84          |            46           | 8.960162310855946e-05  |
|     120     |          85          |            52           | 6.447620547234134e-05  |
|     120     |          86          |            50           | 8.279967005608846e-05  |
|     120     |          87          |            52           | 6.557490957304069e-05  |
|     120     |          88          |            52           | 7.362053374249111e-05  |
|     120     |          89          |            52           | 9.886360346345047e-05  |
|     120     |          90          |            54           | 6.458237889328533e-05  |
|     120     |          91          |            52           | 7.855788453980939e-05  |
|     120     |          92          |            54           | 6.477610735866612e-05  |
|     120     |          93          |            52           | 7.233325460997975e-05  |
|     120     |          94          |            52           | 9.723997484945013e-05  |
|     120     |          95          |            58           | 6.629574798178162e-05  |
|     120     |          96          |            54           | 7.788253864904338e-05  |
|     120     |          97          |            60           |  6.41877665032986e-05  |
|     120     |          98          |            56           | 7.539519910371162e-05  |
|     120     |          99          |            56           | 8.665227791515573e-05  |
|     120     |         100          |            62           |  4.27330472365095e-05  |
|     120     |         101          |            56           | 8.193720626703538e-05  |
|     120     |         102          |            60           | 5.752004199233163e-05  |
|     120     |         103          |            60           | 7.539048190596809e-05  |
|     120     |         104          |            56           | 8.618644984725865e-05  |
|     120     |         105          |            66           | 5.1292855243412205e-05 |
|     120     |         106          |            60           |  8.14007565038688e-05  |
|     120     |         107          |            64           | 6.008214915637078e-05  |
|     120     |         108          |            66           | 7.430099674787805e-05  |
|     120     |         109          |            62           |  8.72313024689042e-05  |
|     120     |         110          |            62           | 5.856761112521536e-05  |
|     120     |         111          |            62           | 8.439952118155514e-05  |
|     120     |         112          |            60           |  6.39148883374574e-05  |
|     120     |         113          |            64           | 7.384168340685004e-05  |
|     120     |         114          |            68           | 9.033356964194272e-05  |
|     120     |         115          |            78           | 6.858921672070473e-05  |
|     120     |         116          |            70           | 8.568027284028279e-05  |
|     130     |          43          |            28           | 8.412304901450618e-05  |
|     130     |          44          |            30           | 4.172888667680619e-05  |
|     130     |          45          |            28           | 6.692340383562811e-05  |
|     130     |          46          |            32           | 3.3307085736233866e-05 |
|     130     |          47          |            32           | 5.3537583427465396e-05 |
|     130     |          48          |            32           |  8.06091152122379e-05  |
|     130     |          49          |            32           | 4.3287226513422095e-05 |
|     130     |          50          |            32           | 6.570598857369436e-05  |
|     130     |          51          |            30           | 9.411319190621992e-05  |
|     130     |          52          |            34           | 5.372444347473415e-05  |
|     130     |          53          |            34           | 7.765198584497313e-05  |
|     130     |          54          |            36           | 4.4241287830260045e-05 |
|     130     |          55          |            34           | 6.436102201567984e-05  |
|     130     |          56          |            34           | 8.945305223828637e-05  |
|     130     |          57          |            32           | 8.615092228378655e-05  |
|     130     |          58          |            32           |  9.78092292160948e-05  |
|     130     |          59          |            40           | 4.4987827983733464e-05 |
|     130     |          60          |            38           | 6.300692320515555e-05  |
|     130     |          61          |            36           | 8.514580415164286e-05  |
|     130     |          62          |            40           | 2.8459818381176838e-05 |
